,date,coupon_rate_year,rate_from_nominal,payment
0,07.08.2013 ,7.05,3.786,37.86
1,05.02.2014 ,7.05,3.515,35.15
2,06.08.2014 ,7.05,3.515,35.15
3,04.02.2015 ,7.05,3.515,35.15
4,05.08.2015 ,7.05,3.515,35.15
5,03.02.2016 ,7.05,3.515,35.15
6,03.08.2016 ,7.05,3.515,35.15
7,01.02.2017 ,7.05,3.515,35.15
8,02.08.2017 ,7.05,3.515,35.15
9,31.01.2018 ,7.05,3.515,35.15
10,01.08.2018 ,7.05,3.515,35.15
11,30.01.2019 ,7.05,3.515,35.15
12,31.07.2019 ,7.05,3.515,35.15
13,29.01.2020 ,7.05,3.515,35.15
14,29.07.2020 ,7.05,3.515,35.15
15,27.01.2021 ,7.05,3.515,35.15
16,28.07.2021 ,7.05,3.515,35.15
17,26.01.2022 ,7.05,3.515,35.15
18,27.07.2022 ,7.05,3.515,35.15
19,25.01.2023 ,7.05,3.515,35.15
20,26.07.2023 ,7.05,3.515,35.15
21,24.01.2024 ,7.05,3.515,35.15
22,24.07.2024 ,7.05,3.515,35.15
23,22.01.2025 ,7.05,3.515,35.15
24,23.07.2025 ,7.05,3.515,35.15
25,21.01.2026 ,7.05,3.515,35.15
26,22.07.2026 ,7.05,3.515,35.15
27,20.01.2027 ,7.05,3.515,35.15
28,21.07.2027 ,7.05,3.515,35.15
29,19.01.2028 ,7.05,103.515,1035.15
