<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170103,000000,93.7234000,94.0212000,93.6512000,94.0212000,111
20170104,000000,94.5997000,94.5998000,94.5997000,94.5998000,9
20170105,000000,94.6899000,94.6899000,94.6899000,94.6899000,2
20170106,000000,94.4007000,94.4007000,94.4007000,94.4007000,6
20170109,000000,94.3503000,95.3491000,94.3503000,94.7003000,21587
20170110,000000,95.1498000,95.5000000,94.8504000,95.1029000,26811
20170111,000000,95.0022000,95.6000000,95.0003000,95.0003000,162037
20170112,000000,95.5480000,95.8000000,95.2005000,95.4311000,164197
20170113,000000,95.4530000,95.7893000,95.4522000,95.6511000,30837
20170116,000000,95.7899000,95.9996000,95.5101000,95.5443000,26027
20170117,000000,95.7001000,95.8001000,95.5364000,95.7501000,107254
20170118,000000,95.6003000,95.9991000,95.5000000,95.6015000,347676
20170119,000000,96.0976000,96.0976000,95.5000000,95.5003000,330264
20170120,000000,95.7104000,96.2000000,95.6004000,95.7511000,6205
20170123,000000,95.7210000,95.9995000,95.5015000,95.5015000,187042
20170124,000000,95.5751000,95.6488000,95.1311000,95.4002000,474083
20170125,000000,95.3011000,95.4441000,94.3201000,94.5502000,70666
20170126,000000,94.5400000,94.6998000,94.0501000,94.3598000,30271
20170127,000000,94.5001000,95.6397000,94.5000000,95.1934000,12647
20170130,000000,94.9003000,95.2487000,94.9001000,95.1010000,1053
20170131,000000,94.8004000,95.3500000,94.8001000,95.0001000,3598
20170201,000000,95.3000000,95.5200000,95.3000000,95.3003000,27420
20170202,000000,95.7600000,95.8999000,95.5133000,95.5345000,64994
20170203,000000,95.4047000,95.9946000,95.3402000,95.5000000,301027
20170206,000000,95.6002000,95.6881000,95.2004000,95.2526000,401165
20170207,000000,95.2052000,95.6967000,95.2006000,95.3006000,31176
20170208,000000,95.4001000,95.6484000,95.1076000,95.3500000,556190
20170209,000000,95.1501000,95.6000000,95.1500000,95.2507000,45074
20170210,000000,95.5006000,95.8993000,95.5000000,95.6989000,948
20170213,000000,95.5102000,95.7000000,95.5001000,95.5001000,25844
20170214,000000,95.5001000,95.6983000,95.3003000,95.3003000,2872
20170215,000000,95.2505000,95.6999000,95.0001000,95.0019000,128764
20170216,000000,95.6996000,95.7000000,93.5000000,94.3501000,113144
20170217,000000,94.3004000,94.6200000,94.3000000,94.3011000,50827
20170220,000000,94.3001000,94.7974000,94.2501000,94.3001000,4499
20170221,000000,94.5444000,94.7181000,94.1001000,94.2503000,43780
20170222,000000,94.0536000,94.5500000,93.9002000,93.9003000,116376
20170224,000000,94.4968000,94.4968000,94.4968000,94.4968000,2
20170227,000000,93.9006000,94.3500000,93.9000000,94.0002000,20079
20170228,000000,94.0008000,94.3500000,93.8501000,94.0000000,14043
20170301,000000,93.6016000,94.4999000,93.6013000,93.8101000,90018
20170302,000000,93.8223000,94.1500000,93.8101000,93.8503000,217675
20170303,000000,93.8500000,94.4000000,93.6001000,94.4000000,90461
20170306,000000,93.9025000,94.6999000,93.9013000,94.4002000,5986
20170307,000000,94.2121000,94.6998000,94.2121000,94.4003000,101801
20170309,000000,94.0610000,94.6500000,94.0100000,94.5202000,727781
20170310,000000,94.4006000,94.8000000,94.4000000,94.4601000,7260
20170313,000000,94.4008000,95.0000000,94.4006000,94.7117000,119549
20170314,000000,94.4457000,95.1996000,94.4457000,95.0511000,177442
20170315,000000,94.9102000,95.6000000,94.9101000,95.1116000,116153
20170316,000000,95.4101000,95.8388000,95.3114000,95.6110000,55037
20170317,000000,95.3581000,95.7500000,95.3107000,95.6501000,7123
20170320,000000,95.5113000,95.9997000,95.5113000,95.6010000,1230
20170321,000000,95.5123000,95.8977000,95.5005000,95.5005000,265784
20170322,000000,95.4148000,95.7499000,95.0101000,95.3000000,152308
20170323,000000,95.3000000,95.5000000,95.3000000,95.3508000,24182
20170324,000000,95.3503000,95.8900000,95.2504000,95.2535000,64802
20170327,000000,95.0111000,95.7800000,95.0101000,95.3609000,9114
20170328,000000,95.4603000,95.6501000,95.3100000,95.4505000,51958
20170329,000000,95.8399000,95.8399000,95.2601000,95.5500000,19751
20170330,000000,95.6000000,95.8999000,95.6000000,95.8002000,173894
20170331,000000,95.6611000,96.1000000,95.5903000,95.6100000,95289
20170403,000000,95.4208000,95.7995000,95.4202000,95.5003000,258
20170404,000000,95.5000000,95.6997000,95.3116000,95.4500000,2301
20170405,000000,95.7496000,95.9990000,95.7011000,95.7011000,35162
20170406,000000,95.4223000,96.0501000,95.4203000,95.8509000,925069
20170407,000000,95.0450000,95.8000000,95.0450000,95.6002000,66230
20170410,000000,95.5604000,95.9971000,95.2000000,95.2101000,413
20170411,000000,95.3503000,95.4600000,95.0003000,95.0702000,342630
20170412,000000,95.0006000,95.3934000,95.0000000,95.2001000,5482
20170413,000000,95.0600000,95.6992000,95.0600000,95.2304000,18254
20170414,000000,95.2637000,95.6000000,95.2637000,95.5000000,63419
20170417,000000,95.4477000,95.6436000,95.3876000,95.5000000,63580
20170418,000000,95.0002000,95.6759000,95.0002000,95.4502000,171573
20170419,000000,95.3603000,95.8999000,95.3603000,95.4743000,2789
20170420,000000,95.8999000,96.3399000,95.4631000,96.1010000,16418
20170421,000000,96.0107000,96.7500000,96.0107000,96.3107000,4019
20170424,000000,96.8857000,97.9000000,96.5101000,96.6011000,324113
20170425,000000,96.6300000,96.7990000,96.2003000,96.5000000,36874
20170426,000000,96.2626000,96.6500000,96.2602000,96.4740000,451664
20170427,000000,96.4500000,96.5509000,96.2397000,96.2397000,58565
20170428,000000,96.4000000,96.9500000,96.3118000,96.8501000,309382
20170502,000000,96.3019000,97.0500000,96.3017000,96.9501000,63807
20170503,000000,96.9500000,97.0500000,96.7104000,96.8001000,104726
20170504,000000,96.7001000,96.7001000,96.3110000,96.4000000,9488
20170505,000000,96.3376000,96.5727000,95.5000000,96.1267000,38055
20170510,000000,96.2503000,96.8520000,96.2501000,96.8520000,13592
20170511,000000,97.0013000,97.4282000,97.0013000,97.0013000,5844
20170512,000000,96.9605000,97.2993000,94.9003000,97.0611000,593
20170515,000000,97.2992000,97.3500000,97.1502000,97.2000000,69415
20170516,000000,97.0004000,97.2500000,96.9004000,96.9004000,105559
20170517,000000,96.8004000,97.0000000,96.5003000,96.6500000,13866
20170518,000000,96.5005000,96.7000000,96.1503000,96.7000000,51832
20170519,000000,96.7106000,96.8100000,96.7103000,96.8100000,64
20170522,000000,96.8150000,97.6000000,96.7040000,97.1980000,1207
20170523,000000,96.8130000,97.2990000,96.7060000,96.9600000,2421
20170524,000000,97.0790000,97.0800000,96.4620000,96.5530000,30513
20170525,000000,96.9340000,96.9350000,96.6040000,96.6060000,1325
20170526,000000,96.4760000,96.6050000,96.3010000,96.4020000,428
20170529,000000,96.4050000,96.8000000,96.2610000,96.3550000,4795
20170530,000000,96.8980000,96.8980000,96.3000000,96.3000000,1984
20170531,000000,96.3160000,96.6770000,96.1000000,96.1100000,1829
20170601,000000,96.6630000,96.9000000,96.2530000,96.8010000,511946
20170602,000000,96.6660000,97.0990000,96.3510000,96.5310000,143862
20170605,000000,96.7730000,97.0500000,96.7210000,96.8150000,17243
20170606,000000,96.6270000,97.2000000,96.6240000,96.6310000,1113
20170607,000000,97.1240000,97.1500000,96.6540000,96.7530000,1230
20170608,000000,97.0450000,97.0500000,96.7260000,96.7570000,32913
20170609,000000,96.6530000,97.1890000,96.6530000,96.7580000,52902
20170613,000000,97.1470000,97.2500000,96.8630000,96.9600000,3832
20170614,000000,97.0010000,97.2490000,96.9010000,96.9200000,113146
20170615,000000,96.7140000,96.9980000,96.2520000,96.3050000,158076
20170616,000000,96.2710000,96.8350000,96.0510000,96.0520000,88454
20170619,000000,95.8670000,96.0990000,95.6000000,95.6000000,804834
20170620,000000,95.7610000,96.0000000,95.6020000,95.6510000,13892
20170621,000000,95.5100000,96.2970000,95.5000000,96.0520000,127786
20170622,000000,95.7540000,96.3000000,95.6600000,96.0020000,68282
20170623,000000,95.9120000,96.4990000,95.9100000,96.2030000,128242
20170626,000000,96.4030000,96.7500000,96.3600000,96.6000000,964935
20170627,000000,96.5530000,96.8490000,96.2010000,96.4110000,92900
20170628,000000,96.2020000,96.6480000,96.1010000,96.6480000,62589
20170629,000000,96.5540000,96.8000000,96.4010000,96.4020000,27817
20170630,000000,96.2130000,96.6500000,96.1120000,96.6000000,76904
20170703,000000,96.6000000,96.8500000,96.3640000,96.3640000,633
20170704,000000,96.3140000,96.7000000,96.3020000,96.3040000,933
20170705,000000,96.3030000,96.6990000,95.9120000,96.2000000,116434
20170706,000000,96.0030000,96.2480000,95.2030000,95.8100000,5995
20170707,000000,95.5630000,95.8000000,95.5010000,95.5500000,256487
20170710,000000,95.9870000,96.0890000,95.7120000,95.9010000,9080
20170711,000000,95.8050000,95.9880000,95.6500000,95.6610000,361626
20170712,000000,95.6540000,96.2980000,95.6520000,95.9140000,300814
20170713,000000,95.8110000,96.1510000,95.8000000,96.1000000,34100
20170714,000000,95.8870000,96.5470000,95.8830000,96.3010000,57316
20170717,000000,96.2510000,96.6980000,96.0110000,96.1980000,502474
20170718,000000,96.0640000,96.4890000,96.0610000,96.1290000,6918
20170719,000000,96.5390000,96.5390000,96.0550000,96.1380000,7886
20170720,000000,96.1110000,96.3000000,96.0030000,96.1620000,83736
20170721,000000,96.4190000,96.8000000,96.0530000,96.0540000,5542
20170724,000000,96.0930000,96.3300000,95.6050000,95.7510000,29232
