Дата,Adj Close,Date
2020-12-30,1387.46,30.12.2020
2020-12-29,1398.48,29.12.2020
2020-12-28,1391.31,28.12.2020
2020-12-25,1378.36,25.12.2020
2020-12-24,1378.33,24.12.2020
2020-12-23,1366.76,23.12.2020
2020-12-22,1351.43,22.12.2020
2020-12-21,1335.93,21.12.2020
2020-12-18,1402.5,18.12.2020
2020-12-17,1419.22,17.12.2020
2020-12-16,1400.05,16.12.2020
2020-12-15,1390.46,15.12.2020
2020-12-14,1398.12,14.12.2020
2020-11-12,1412.88,11.12.2020
2020-10-12,1404.68,10.12.2020
2020-09-12,1372.47,09.12.2020
2020-08-12,1364.66,08.12.2020
2020-07-12,1368.86,07.12.2020
2020-04-12,1357.39,04.12.2020
2020-03-12,1339.41,03.12.2020
2020-02-12,1335.44,02.12.2020
2020-01-12,1311.05,01.12.2020
2020-11-30,1281.97,30.11.2020
2020-11-27,1302.43,27.11.2020
2020-11-26,1307.14,26.11.2020
2020-11-25,1301.83,25.11.2020
2020-11-24,1287.12,24.11.2020
2020-11-23,1256.81,23.11.2020
2020-11-20,1262.69,20.11.2020
2020-11-19,1258.91,19.11.2020
2020-11-18,1276.75,18.11.2020
2020-11-17,1258.46,17.11.2020
2020-11-16,1268.61,16.11.2020
2020-11-13,1227.78,13.11.2020
2020-12-11,1238.45,12.11.2020
2020-11-11,1233.81,11.11.2020
2020-10-11,1232.87,10.11.2020
2020-09-11,1236.3,09.11.2020
2020-06-11,1178.28,06.11.2020
2020-05-11,1170.74,05.11.2020
2020-03-11,1108.15,03.11.2020
2020-02-11,1069.33,02.11.2020
2020-10-30,1066.6,30.10.2020
2020-10-29,1078.96,29.10.2020
2020-10-28,1078.29,28.10.2020
2020-10-27,1131.36,27.10.2020
2020-10-26,1152.33,26.10.2020
2020-10-23,1164.06,23.10.2020
2020-10-22,1155.24,22.10.2020
2020-10-21,1143.42,21.10.2020
2020-10-20,1140.69,20.10.2020
2020-10-19,1135.12,19.10.2020
2020-10-16,1132.8,16.10.2020
2020-10-15,1132.29,15.10.2020
2020-10-14,1160.3,14.10.2020
2020-10-13,1156.11,13.10.2020
2020-12-10,1162.91,12.10.2020
2020-09-10,1164.34,09.10.2020
2020-08-10,1158.82,08.10.2020
2020-07-10,1143.95,07.10.2020
2020-06-10,1168.56,06.10.2020
2020-05-10,1157.86,05.10.2020
2020-02-10,1148.07,02.10.2020
2020-01-10,1174.49,01.10.2020
2020-09-30,1178.51,30.09.2020
2020-09-29,1155.67,29.09.2020
2020-09-28,1166.86,28.09.2020
2020-09-25,1164.68,25.09.2020
2020-09-24,1188.98,24.09.2020
2020-09-23,1195.77,23.09.2020
2020-09-22,1193.06,22.09.2020
2020-09-21,1181.24,21.09.2020
2020-09-18,1228.64,18.09.2020
2020-09-17,1243.29,17.09.2020
2020-09-16,1251.86,16.09.2020
2020-09-15,1253.68,15.09.2020
2020-09-14,1228.48,14.09.2020
2020-11-09,1223.05,11.09.2020
2020-10-09,1216.59,10.09.2020
2020-09-09,1201.34,09.09.2020
2020-08-09,1189.47,08.09.2020
2020-07-09,1218.52,07.09.2020
2020-04-09,1220.01,04.09.2020
2020-03-09,1223.21,03.09.2020
2020-02-09,1234.82,02.09.2020
2020-01-09,1274.5,01.09.2020
2020-08-31,1258.6,31.08.2020
2020-08-28,1265.62,28.08.2020
2020-08-27,1264.86,27.08.2020
2020-08-26,1273.24,26.08.2020
2020-08-25,1267.16,25.08.2020
2020-08-24,1281.52,24.08.2020
2020-08-21,1262.01,21.08.2020
2020-08-20,1272.81,20.08.2020
2020-08-19,1316.32,19.08.2020
2020-08-18,1311.52,18.08.2020
2020-08-17,1308.71,17.08.2020
2020-08-14,1323.8,14.08.2020
2020-08-13,1326.13,13.08.2020
2020-12-08,1307.12,12.08.2020
2020-11-08,1296.01,11.08.2020
2020-10-08,1267.96,10.08.2020
2020-07-08,1271.43,07.08.2020
2020-06-08,1282.44,06.08.2020
2020-05-08,1295.27,05.08.2020
2020-04-08,1260.16,04.08.2020
2020-03-08,1257.42,03.08.2020
2020-07-31,1234.44,31.07.2020
2020-07-30,1232.35,30.07.2020
2020-07-29,1266.01,29.07.2020
2020-07-28,1257.69,28.07.2020
2020-07-27,1266.16,27.07.2020
2020-07-24,1255.98,24.07.2020
2020-07-23,1261.62,23.07.2020
