Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,639.0,649.5,636.0,643.5,641.6516723632812,80059
2017-01-04,645.0,667.5,640.0,662.5,660.5970458984375,137537
2017-01-05,666.0,697.0,648.5,661.5,659.6000366210938,209872
2017-01-06,658.5,665.5,644.0,654.0,652.121337890625,69904
2017-01-09,662.5,663.0,646.5,662.0,660.0984497070312,74997
2017-01-10,665.5,673.5,665.0,669.5,667.5769653320312,146449
2017-01-11,674.0,685.0,665.5,668.0,666.0812377929688,179356
2017-01-12,682.0,695.0,669.5,677.5,675.5540161132812,157441
2017-01-13,675.0,677.5,660.5,668.0,666.0812377929688,67282
2017-01-16,669.5,678.5,664.0,670.5,668.5740356445312,44067
2017-01-17,672.0,692.5,672.0,688.5,686.5224609375,191301
2017-01-18,689.5,692.5,673.0,689.5,687.51953125,103514
2017-01-19,685.5,691.5,678.0,680.5,678.54541015625,104646
2017-01-20,686.0,686.5,675.0,682.0,680.0410766601562,138366
2017-01-23,684.0,698.0,683.0,692.5,690.510986328125,83147
2017-01-24,694.0,709.0,686.0,708.0,705.9663696289062,128025
2017-01-25,700.5,707.0,696.0,699.0,696.9923095703125,109133
2017-01-26,700.0,704.5,662.0,667.0,665.084228515625,302815
2017-01-27,669.5,669.5,655.0,667.0,665.084228515625,140241
2017-01-30,669.0,677.0,662.0,674.5,672.5624389648438,93872
2017-01-31,677.5,693.0,671.5,692.0,690.0123291015625,155614
2017-02-01,692.0,716.5,686.0,707.0,704.96923828125,207333
2017-02-02,713.5,719.5,700.0,702.0,699.983642578125,125916
2017-02-03,700.0,707.0,685.5,693.0,691.0094604492188,70249
2017-02-06,700.0,705.0,690.0,696.5,694.4993896484375,41712
2017-02-07,699.0,711.5,698.0,709.0,706.9635620117188,65434
2017-02-08,713.0,735.5,712.0,728.0,725.9089965820312,171903
2017-02-09,726.0,729.5,714.0,716.5,714.4420166015625,85595
2017-02-10,715.0,722.5,704.0,722.0,719.9261474609375,85261
2017-02-13,730.0,731.0,707.0,710.0,707.9605712890625,44780
2017-02-14,717.0,721.0,697.5,698.0,695.9949951171875,53276
2017-02-15,698.0,702.0,679.0,696.5,694.4993896484375,61730
2017-02-16,698.0,699.5,681.5,696.0,694.0009155273438,47559
2017-02-17,697.5,717.0,691.0,715.0,712.9462280273438,215782
2017-02-20,714.0,717.5,703.0,716.0,713.9434814453125,46798
2017-02-21,713.0,717.5,700.5,704.5,702.4764404296875,104953
2017-02-22,705.0,716.0,696.0,709.5,707.4620971679688,74152
2017-02-24,720.0,733.0,718.5,731.0,728.9003295898438,91128
2017-02-27,720.5,724.0,705.0,708.0,705.9663696289062,84147
2017-02-28,708.5,709.5,637.5,691.0,689.01513671875,133649
2017-03-01,689.0,689.0,674.0,679.0,677.0496826171875,71805
2017-03-02,683.0,694.0,675.0,675.5,673.559814453125,49089
2017-03-03,675.5,675.5,653.0,661.0,659.101318359375,63830
2017-03-06,663.0,674.0,651.0,652.0,650.127197265625,79879
2017-03-07,654.0,658.5,636.5,643.0,641.153076171875,84201
2017-03-09,643.0,664.5,637.5,661.0,659.101318359375,85763
2017-03-10,663.5,667.5,641.0,661.5,659.6000366210938,33070
2017-03-13,662.0,677.0,656.5,662.5,660.5970458984375,43699
2017-03-14,665.0,680.5,646.0,675.0,673.0612182617188,61048
2017-03-15,670.0,690.0,670.0,687.0,685.0266723632812,61563
2017-03-16,692.0,726.5,683.0,720.0,717.931884765625,218723
2017-03-17,720.0,723.5,701.0,720.0,717.931884765625,58665
2017-03-20,720.0,720.0,710.5,714.0,711.9491577148438,24672
2017-03-21,714.0,725.0,710.0,723.0,720.92333984375,88106
2017-03-22,720.0,752.0,715.0,750.0,747.8458251953125,194886
2017-03-23,749.0,753.5,729.0,739.0,736.8773803710938,57678
2017-03-24,738.0,747.0,729.0,738.5,736.3787231445312,27395
2017-03-27,745.0,758.0,740.5,742.5,740.3672485351562,78438
2017-03-28,747.5,753.5,735.5,747.0,744.8543701171875,33742
2017-03-29,740.5,747.0,691.0,695.0,693.0038452148438,154379
2017-03-30,700.0,708.5,692.5,704.0,701.9778442382812,58418
2017-03-31,701.0,705.0,688.0,698.5,696.49365234375,44991
2017-04-03,697.0,710.5,691.5,709.5,707.4620971679688,32102
2017-04-04,709.5,718.5,708.5,716.0,713.9434814453125,38539
2017-04-05,713.0,725.0,710.0,713.0,710.9520263671875,47113
2017-04-06,714.0,732.5,710.5,726.0,723.914794921875,70536
2017-04-07,736.5,753.5,735.5,745.0,742.860107421875,138030
2017-04-10,736.5,749.0,735.0,743.0,740.8659057617188,64974
2017-04-11,744.0,770.0,735.5,767.5,765.29541015625,98250
2017-04-12,766.5,776.5,755.0,758.0,755.8228149414062,93834
2017-04-13,766.0,777.0,761.0,769.0,766.791259765625,113070
2017-04-14,762.0,800.0,760.5,798.5,796.2063598632812,105781
2017-04-17,796.5,819.5,764.0,800.0,797.7021484375,74043
2017-04-18,790.0,802.5,762.0,767.0,764.796875,84744
2017-04-19,766.5,768.0,751.0,758.0,755.8228149414062,51721
2017-04-20,750.0,759.5,736.5,753.0,750.8370361328125,93814
2017-04-21,753.0,763.0,737.5,740.0,737.87451171875,59883
2017-04-24,722.5,739.0,721.0,723.0,720.92333984375,81287
2017-04-25,723.0,748.0,707.5,725.0,722.91748046875,81466
2017-04-26,735.0,750.5,726.0,749.5,747.34716796875,133950
2017-04-27,751.0,762.5,743.5,749.0,746.8485717773438,82561
2017-04-28,759.0,765.0,748.5,754.0,751.834228515625,78799
2017-05-02,747.0,756.0,739.0,740.0,737.87451171875,94512
2017-05-03,742.5,749.5,722.5,730.5,728.4017333984375,59465
