Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1256.0,1269.5,1235.0,1241.0,1241.0,76879
2017-01-04,1247.5,1257.0,1233.5,1240.0,1240.0,38745
2017-01-05,1246.5,1254.5,1212.0,1252.0,1252.0,77016
2017-01-06,1290.0,1295.0,1260.0,1291.0,1291.0,85243
2017-01-09,1295.0,1322.0,1288.5,1317.0,1317.0,66935
2017-01-10,1321.5,1332.0,1305.5,1319.5,1319.5,43962
2017-01-11,1309.0,1309.0,1290.5,1299.0,1299.0,50774
2017-01-12,1293.5,1298.0,1266.0,1271.5,1271.5,57631
2017-01-13,1272.0,1288.0,1259.0,1286.5,1286.5,32527
2017-01-16,1284.5,1310.0,1277.5,1305.0,1305.0,17621
2017-01-17,1291.5,1307.0,1280.5,1303.0,1303.0,27699
2017-01-18,1296.0,1312.0,1292.5,1299.0,1299.0,24276
2017-01-19,1304.5,1312.0,1293.5,1307.0,1307.0,19313
2017-01-20,1315.0,1320.0,1299.0,1315.0,1315.0,26363
2017-01-23,1310.5,1315.5,1288.0,1295.0,1295.0,21749
2017-01-24,1301.5,1350.0,1301.5,1349.0,1349.0,71115
2017-01-25,1350.0,1393.5,1350.0,1381.0,1381.0,79955
2017-01-26,1394.0,1424.5,1386.0,1411.0,1411.0,74963
2017-01-27,1411.5,1425.0,1391.0,1418.5,1418.5,43923
2017-01-30,1408.5,1417.0,1362.5,1370.0,1370.0,52050
2017-01-31,1375.0,1395.0,1375.0,1379.0,1379.0,14883
2017-02-01,1380.0,1407.5,1373.0,1384.0,1384.0,22816
2017-02-02,1391.0,1407.5,1365.5,1370.0,1370.0,33489
2017-02-03,1370.5,1399.0,1370.5,1387.0,1387.0,19437
2017-02-06,1394.0,1394.0,1346.5,1357.5,1357.5,21127
2017-02-07,1358.0,1388.0,1358.0,1382.0,1382.0,19344
2017-02-08,1367.5,1380.5,1345.0,1350.0,1350.0,35971
2017-02-09,1363.0,1365.0,1326.5,1356.5,1356.5,41989
2017-02-10,1360.0,1369.0,1332.0,1345.0,1345.0,16697
2017-02-13,1357.0,1359.5,1335.0,1335.0,1335.0,29261
2017-02-14,1334.0,1344.0,1304.0,1312.0,1312.0,36212
2017-02-15,1316.5,1336.0,1263.0,1316.0,1316.0,42534
2017-02-16,1335.5,1412.0,1312.0,1401.0,1401.0,112710
2017-02-17,1400.0,1436.5,1385.5,1425.0,1425.0,218216
2017-02-20,1427.0,1437.5,1420.0,1425.0,1425.0,21970
2017-02-21,1423.0,1429.5,1392.0,1395.0,1395.0,25695
2017-02-22,1397.0,1404.5,1380.0,1398.5,1398.5,50108
2017-02-24,1380.0,1381.0,1356.0,1368.5,1368.5,17278
2017-02-27,1371.0,1379.5,1334.5,1354.0,1354.0,21494
2017-02-28,1343.5,1354.0,1309.0,1330.0,1330.0,27584
2017-03-01,1325.0,1354.0,1303.5,1334.0,1334.0,61900
2017-03-02,1358.5,1369.5,1335.5,1358.5,1358.5,54747
2017-03-03,1358.5,1373.0,1351.5,1370.0,1370.0,16987
2017-03-06,1370.0,1374.5,1341.0,1359.0,1359.0,27380
2017-03-07,1372.0,1372.0,1349.0,1364.0,1364.0,13444
2017-03-09,1370.5,1389.0,1352.0,1359.5,1359.5,48524
2017-03-10,1361.0,1365.0,1335.5,1360.0,1360.0,26524
2017-03-13,1350.5,1377.5,1350.5,1366.5,1366.5,14845
2017-03-14,1378.5,1379.5,1354.0,1357.0,1357.0,33875
2017-03-15,1369.0,1374.5,1329.0,1341.0,1341.0,29478
2017-03-16,1351.5,1390.0,1327.0,1375.0,1375.0,64829
2017-03-17,1377.5,1396.5,1351.5,1354.0,1354.0,31069
2017-03-20,1359.5,1360.0,1340.0,1348.0,1348.0,14436
2017-03-21,1342.0,1359.5,1309.0,1311.0,1311.0,41762
2017-03-22,1294.0,1297.0,1279.0,1291.0,1291.0,74289
2017-03-23,1292.0,1309.5,1278.5,1288.0,1288.0,17862
2017-03-24,1290.0,1294.0,1271.0,1280.5,1280.5,13401
2017-03-27,1270.0,1285.0,1238.0,1261.0,1261.0,33041
2017-03-28,1262.0,1280.0,1260.0,1277.5,1277.5,14950
2017-03-29,1278.0,1295.0,1255.5,1262.0,1262.0,27156
2017-03-30,1262.5,1277.5,1242.0,1247.5,1247.5,26420
2017-03-31,1244.5,1250.0,1231.0,1245.5,1245.5,14508
2017-04-03,1232.0,1259.5,1225.5,1242.0,1242.0,33441
2017-04-04,1240.0,1258.0,1234.0,1239.0,1239.0,13531
2017-04-05,1237.5,1298.0,1236.5,1298.0,1298.0,67924
2017-04-06,1281.0,1304.5,1279.0,1289.0,1289.0,25718
2017-04-07,1286.0,1290.0,1240.5,1260.0,1260.0,50279
2017-04-10,1240.5,1258.0,1225.0,1249.5,1249.5,28188
2017-04-11,1230.0,1257.0,1230.0,1250.5,1250.5,30854
2017-04-12,1257.0,1293.0,1253.5,1284.0,1284.0,38610
2017-04-13,1298.0,1298.0,1265.0,1289.0,1289.0,27678
2017-04-14,1270.5,1291.5,1266.0,1268.5,1268.5,4672
2017-04-17,1266.5,1368.0,1256.0,1367.5,1367.5,59241
2017-04-18,1370.0,1370.0,1331.0,1336.5,1336.5,22324
2017-04-19,1337.5,1355.0,1326.0,1331.5,1331.5,16731
2017-04-20,1321.5,1340.0,1310.0,1328.0,1328.0,17395
2017-04-21,1328.0,1335.0,1307.0,1310.0,1310.0,24707
2017-04-24,1315.5,1335.0,1307.0,1317.0,1317.0,55320
2017-04-25,1315.0,1338.5,1305.5,1338.0,1338.0,28170
2017-04-26,1344.0,1423.0,1337.5,1404.0,1404.0,119854
2017-04-27,1410.0,1537.0,1405.5,1520.0,1520.0,290496
2017-04-28,1530.5,1569.0,1502.0,1534.5,1534.5,68199
2017-05-02,1552.5,1590.0,1545.0,1549.0,1549.0,45720
2017-05-03,1549.0,1558.5,1500.5,1528.0,1528.0,87317
2017-05-04,1548.5,1589.0,1538.0,1581.0,1581.0,84100
2017-05-05,1553.0,1589.0,1551.5,1570.0,1570.0,22265
2017-05-10,1577.0,1601.0,1576.5,1590.0,1590.0,33097
2017-05-11,1589.5,1667.5,1554.0,1562.5,1562.5,86569
2017-05-12,1575.0,1595.0,1551.0,1592.0,1592.0,81394
2017-05-15,1601.0,1640.5,1595.5,1619.0,1619.0,77039
2017-05-16,1619.0,1648.0,1565.5,1611.0,1611.0,83424
2017-05-17,1625.0,1633.0,1601.5,1608.0,1608.0,38230
2017-05-18,1589.5,1599.5,1550.0,1565.0,1565.0,83972
2017-05-19,1581.0,1634.0,1565.0,1611.5,1611.5,67490
2017-05-22,1618.0,1624.0,1595.5,1608.0,1608.0,32810
2017-05-23,1618.0,1630.0,1593.0,1611.5,1611.5,46031
2017-05-24,1618.5,1619.5,1595.5,1611.0,1611.0,11253
2017-05-25,1600.5,1620.5,1575.5,1584.0,1584.0,20122
2017-05-26,1590.0,1590.0,1565.5,1568.0,1568.0,13564
2017-05-29,1565.0,1583.5,1565.0,1573.5,1573.5,9800
2017-05-30,1565.0,1576.5,1547.0,1552.0,1552.0,24154
2017-05-31,1568.0,1568.0,1497.5,1505.0,1505.0,59352
2017-06-01,1485.5,1527.5,1482.0,1520.0,1520.0,18970
2017-06-02,1507.5,1531.0,1474.5,1478.0,1478.0,63178
2017-06-05,1494.0,1535.0,1482.5,1525.0,1525.0,59949
2017-06-06,1538.5,1555.0,1522.5,1524.5,1524.5,20730
